City,Region,State,Country,Latitude,Longitude,Population,WaterPollution,AirQuality
Knoxville,Tennessee,TN,United States of America,35.962,-83.918,190740.0,51.78571429,56.94444444
Belvidere,Illinois,IL,United States of America,42.259,-88.84,25339.0,25.0,75.0
Chattanooga,Tennessee,TN,United States of America,35.05,-85.31,181099.0,61.53846154,79.41176471
Spokane,Washington,WA,United States of America,47.657,-117.418,228989.0,25.0,77.88461538
Missoula,Montana,MT,United States of America,46.872,-113.994,73489.0,22.91666667,79.6875
Boulder,Colorado,CO,United States of America,40.018,-105.278,108250.0,47.91666667,85.0
Tacoma,Washington,WA,United States of America,47.253,-122.44,219346.0,50.0,78.94736842
Modesto,California,CA,United States of America,37.639,-120.997,218464.0,54.54545455,46.66666667
Aspen,Colorado,CO,United States of America,39.195,-106.837,7004.0,50.0,75.0
Vallejo,California,CA,United States of America,38.101,-122.255,126090.0,50.0,100.0
Thousand Oaks,California,CA,United States of America,34.175,-118.845,126966.0,20.83333333,92.5
Sunnyvale,California,CA,United States of America,37.369,-122.037,155805.0,55.55555556,77.08333333
Oxnard,California,CA,United States of America,34.198,-119.177,202063.0,0.0,95.0
Santa Rosa,California,CA,United States of America,38.44,-122.713,178127.0,29.54545455,81.25
Rapid City,South Dakota,SD,United States of America,44.081,-103.227,74703.0,37.5,92.5
Binghamton,New York,NY,United States of America,42.099,-75.913,47969.0,62.5,62.5
Bellevue,Washington,WA,United States of America,47.617,-122.202,151854.0,19.44444444,94.23076923
Fayetteville,Arkansas,AR,United States of America,36.063,-94.161,93949.0,20.0,94.44444444
Macon,Georgia,GA,United States of America,32.838,-83.628,157346.0,50.0,60.0
Walla Walla,Washington,WA,United States of America,46.067,-118.339,34060.0,0.0,100.0
Casper,Wyoming,WY,United States of America,42.85,-106.325,59038.0,33.33333333,100.0
Redmond,Washington,WA,United States of America,47.674,-122.122,73256.0,33.33333333,87.5
Peoria,Illinois,IL,United States of America,40.693,-89.591,113150.0,29.16666667,96.875
Aberdeen,Washington,WA,United States of America,46.975,-123.819,17013.0,0.0,100.0
Rockford,Illinois,IL,United States of America,42.271,-89.095,148655.0,60.0,60.71428571
Vancouver,Washington,WA,United States of America,45.63,-122.677,190915.0,29.80769231,73.07692308
Erie,Pennsylvania,PA,United States of America,42.129,-80.085,94831.0,100.0,80.0
Hollywood,Florida,FL,United States of America,26.011,-80.149,153067.0,37.5,100.0
Aberdeen,South Dakota,SD,United States of America,45.465,-98.488,28495.0,83.33333333,50.0
Reading,Pennsylvania,PA,United States of America,40.335,-75.928,95112.0,50.0,87.5
Brunswick,Vermont,VT,United States of America,44.734,-71.667,88.0,37.5,100.0
Columbus,Georgia,GA,United States of America,32.469,-84.988,206922.0,45.0,82.5
Mission,Texas,TX,United States of America,26.216,-98.326,85778.0,0.0,100.0
Huntington,West Virginia,WV,United States of America,38.421,-82.444,46842.0,25.0,75.0
Kingsport,Tennessee,TN,United States of America,36.547,-82.56,55442.0,93.75,56.25
Naperville,Illinois,IL,United States of America,41.774,-88.148,149540.0,12.5,83.33333333
Clearwater,Florida,FL,United States of America,27.966,-82.8,117292.0,35.71428571,85.71428571
Clifton,New Jersey,NJ,United States of America,40.867,-74.154,90296.0,0.0,100.0
Naples,Florida,FL,United States of America,26.147,-81.796,19115.0,30.76923077,80.76923077
Newport Beach,California,CA,United States of America,33.619,-117.929,85239.0,25.0,93.75
Scranton,Pennsylvania,PA,United States of America,41.409,-75.662,76328.0,41.66666667,92.85714286
Albany,Georgia,GA,United States of America,31.577,-84.156,69647.0,16.66666667,75.0
Duluth,Georgia,GA,United States of America,34.003,-84.144,31873.0,0.0,50.0
Blacksburg,Virginia,VA,United States of America,37.229,-80.414,44826.0,0.0,75.0
Newport,New Hampshire,NH,United States of America,43.359,-72.181,6299.0,0.0,100.0
Middletown,New York,NY,United States of America,41.447,-74.42,30345.0,25.0,100.0
Joplin,Missouri,MO,United States of America,37.084,-94.513,51762.0,18.75,79.16666667
Lancaster,Pennsylvania,PA,United States of America,40.038,-76.306,58039.0,45.0,66.66666667
Pocatello,Idaho,ID,United States of America,42.862,-112.451,56320.0,87.5,83.33333333
Simi Valley,California,CA,United States of America,34.272,-118.779,126356.0,25.0,82.14285714
Fairfield,California,CA,United States of America,38.249,-122.04,119881.0,37.5,87.5
Bangor,Maine,ME,United States of America,44.801,-68.771,31753.0,12.5,87.5
Rockville,Maryland,MD,United States of America,39.084,-77.153,67117.0,50.0,87.5
Laramie,Wyoming,WY,United States of America,41.311,-105.595,31407.0,0.0,100.0
Parkersburg,West Virginia,WV,United States of America,39.265,-81.563,29738.0,100.0,0.0
Fayetteville,North Carolina,NC,United States of America,35.053,-78.878,208501.0,66.66666667,77.08333333
Schenectady,New York,NY,United States of America,42.812,-73.939,67047.0,50.0,50.0
Newport News,Virginia,VA,United States of America,36.98,-76.431,186247.0,62.5,66.66666667
