City,State_Abbre,Type,Population,Latitude,Longitude
Pawtucket,RI,City,75604,41.877,-71.384
Woodbury,MN,City,75102,44.925,-92.96
Iowa City,IA,City,74828,41.661,-91.535
North Port,FL,City,74793,27.044,-82.236
Rapid City,SD,City,74703,44.081,-103.227
Cherry Hill,NJ,Township,74553,39.892,-74.986
Lauderhill,FL,City,74482,26.15,-80.212
Rock Hill,SC,City,74372,34.925,-81.025
Missouri City,TX,City,74259,29.596,-95.527
New Britain,CT,Town,74135,41.676,-72.785
Broomfield,CO,City,74112,39.925,-105.053
Bolingbrook,IL,Village,73922,41.698,-88.068
Mount Vernon,NY,City,73893,40.913,-73.837
Bismarck,ND,City,73622,46.805,-100.788
Brick,NJ,Township,73620,40.058,-74.121
Kalamazoo,MI,City,73598,42.292,-85.583
Missoula,MT,City,73489,46.872,-113.994
Redmond,WA,City,73256,47.674,-122.122
Redlands,CA,City,73168,34.057,-117.183
Castle Rock,CO,Town,73158,39.372,-104.856
Gulfport,MS,City,72926,30.369,-89.093
Turlock,CA,City,72740,37.495,-120.845
Jacksonville,NC,City,72723,34.751,-77.431
Daytona Beach,FL,City,72647,29.211,-81.023
Mansfield,TX,City,72602,32.563,-97.142
Dublin,CA,City,72589,37.706,-121.924
St Joseph,MO,City,72473,39.767,-94.853
Framingham,MA,Town,72362,42.31,-71.441
Bowling Green,KY,City,72294,36.995,-86.443
Baldwin Park,CA,City,72176,34.086,-117.965
Tamarac,FL,City,71897,26.208,-80.269
Harlingen,TX,City,71829,26.193,-97.697
Camden,NJ,City,71791,39.944,-75.119
Bayonne,NJ,City,71686,40.666,-74.117
Rocklin,CA,City,71601,38.791,-121.236
Redondo Beach,CA,City,71576,33.844,-118.388
Waukesha,WI,City,71158,43.012,-88.232
Dothan,AL,City,71072,31.224,-85.392
Johnson City,TN,City,71046,36.316,-82.353
Wilmington,DE,City,70898,39.738,-75.553
Canton,OH,City,70872,40.798,-81.375
Lafayette,IN,City,70783,40.419,-86.893
Camarillo,CA,City,70741,34.217,-119.039
Greenville,SC,City,70720,34.851,-82.399
Marysville,WA,City,70714,48.052,-122.177
Waterford,MI,Charter Township,70565,42.66,-83.389
Passaic,NJ,City,70537,40.863,-74.127
Decatur,IL,City,70522,39.843,-88.954
St Charles,MO,City,70493,38.782,-90.481
Lake Elsinore,CA,City,70265,33.668,-117.328
Maple Grove,MN,City,70253,45.072,-93.456
Blaine,MN,City,70222,45.161,-93.235
Union City,CA,City,70143,37.595,-122.019
Walnut Creek,CA,City,70127,37.897,-122.06
Yuba City,CA,City,70117,39.141,-121.618
North Richland Hills,TX,City,69917,32.839,-97.228
Rogers,AR,City,69908,36.333,-94.116
Eastvale,CA,City,69757,33.962,-117.579
Gaithersburg,MD,City,69657,39.144,-77.202
Albany,GA,City,69647,31.577,-84.156
East Orange,NJ,City,69612,40.761,-74.211
Noblesville,IN,City,69604,40.046,-86.014
Lakeville,MN,City,69490,44.65,-93.243
Eau Claire,WI,City,69421,44.811,-91.498
Gary,IN,City,69093,41.6,-87.337
St Cloud,MN,City,68881,45.56,-94.162
Tulare,CA,City,68875,36.208,-119.347
Eagan,MN,City,68855,44.805,-93.167
West Des Moines,IA,City,68723,41.571,-93.709
Union City,NJ,City,68589,40.779,-74.024
Palo Alto,CA,City,68572,37.445,-122.162
Portland,ME,City,68408,43.659,-70.257
Franklin,NJ,Township,68364,40.499,-74.533
Yorba Linda,CA,City,68336,33.889,-117.813
Jackson,TN,City,68205,35.614,-88.819
Weston,FL,City,68107,26.1,-80.383
Palatine,IL,Village,67908,42.11,-88.034
Ankeny,IA,City,67887,41.732,-93.6
Skokie,IL,Village,67824,42.034,-87.747
Haverhill,MA,City,67787,42.777,-71.077
San Marcos,TX,City,67553,29.883,-97.941
Sammamish,WA,City,67455,47.602,-122.035
Waterloo,IA,City,67314,42.498,-92.336
Shawnee,KS,City,67311,39.014,-94.742
Lynwood,CA,City,67265,33.93,-118.212
Georgetown,TX,City,67176,30.633,-97.677
Rockville,MD,City,67117,39.084,-77.153
Middletown,NJ,Township,67106,40.392,-74.099
Schenectady,NY,City,67047,42.812,-73.939
Old Bridge,NJ,Township,66876,40.395,-74.324
Davis,CA,City,66850,38.543,-121.74
Delray Beach,FL,City,66846,26.462,-80.073
Oshkosh,WI,City,66816,44.018,-88.538
Kenner,LA,City,66448,29.994,-90.242
Ames,IA,City,66427,42.023,-93.62
Lodi,CA,City,66348,38.13,-121.272
Malden,MA,City,66263,42.426,-71.067
