City,Region,Country,AirQuality,WaterPollution,State_Abbre
Oak Ridge,Tennessee,United States of America,87.5,50.0,TN
San Luis Obispo,California,United States of America,92.5,45.83333333,CA
Cambridge,Massachusetts,United States of America,91.66666667,21.875,MA
West Hartford,Connecticut,United States of America,91.66666667,6.25,CT
New Haven,Connecticut,United States of America,81.81818182,37.5,CT
New Bedford,Massachusetts,United States of America,25.0,75.0,MA
Stamford,Connecticut,United States of America,50.0,54.16666667,CT
Bridgeport,Connecticut,United States of America,79.16666667,66.66666667,CT
Waterbury,Connecticut,United States of America,80.0,0.0,CT
Worcester,Massachusetts,United States of America,91.66666667,75.0,MA
Pittsfield,Massachusetts,United States of America,89.28571429,100.0,MA
Fall River,Massachusetts,United States of America,100.0,50.0,MA
Newton,Massachusetts,United States of America,75.0,50.0,MA
Danbury,Connecticut,United States of America,75.0,0.0,CT
Somerville,Massachusetts,United States of America,100.0,12.5,MA
Portland,Maine,United States of America,82.14285714,42.85714286,ME
Rochester,New York,United States of America,64.70588235,47.91666667,NY
Irvine,California,United States of America,63.15789474,33.33333333,CA
Fremont,California,United States of America,79.16666667,15.0,CA
Scottsdale,Arizona,United States of America,68.75,28.84615385,AZ
Reno,Nevada,United States of America,70.93023256,28.84615385,NV
Winston-Salem,North Carolina,United States of America,94.44444444,5.0,NC
Durham,North Carolina,United States of America,75.0,39.58333333,NC
Norfolk,Virginia,United States of America,100.0,75.0,VA
Orlando,Florida,United States of America,75.73529412,48.38709677,FL
Greensboro,North Carolina,United States of America,76.66666667,31.81818182,NC
Toledo,Ohio,United States of America,75.0,75.0,OH
Stockton,California,United States of America,44.23076923,71.875,CA
Lexington,Kentucky,United States of America,89.28571429,40.0,KY
Corpus Christi,Texas,United States of America,70.0,68.18181818,TX
Riverside,California,United States of America,45.83333333,53.33333333,CA
Santa Ana,California,United States of America,50.0,55.0,CA
Aurora,Colorado,United States of America,45.83333333,33.33333333,CO
Anaheim,California,United States of America,55.76923077,33.33333333,CA
Tampa,Florida,United States of America,79.78723404,45.93023256,FL
Bakersfield,California,United States of America,16.66666667,68.47826087,CA
Colorado Springs,Colorado,United States of America,79.41176471,38.39285714,CO
Virginia Beach,Virginia,United States of America,85.52631579,36.66666667,VA
Mesa,Arizona,United States of America,68.75,31.25,AZ
Wichita,Kansas,United States of America,86.36363636,33.82352941,KS
Henderson,Nevada,United States of America,67.85714286,35.0,NV
Fort Wayne,Indiana,United States of America,66.66666667,43.75,IN
Chula Vista,California,United States of America,37.5,75.0,CA
Chandler,Arizona,United States of America,65.0,45.0,AZ
Lubbock,Texas,United States of America,69.64285714,34.09090909,TX
Garland,Texas,United States of America,75.0,50.0,TX
